x,y,z
3.5,339.0368440967513,5.918130074989617
3.49,338.8902425901199,5.977315004622803
3.48,338.74457106373393,6.036463902099073
3.47,338.601998153661,6.095587061897186
3.46,338.46102402830314,6.154650544381743
3.45,338.32385147728746,6.213669928996126
3.44,338.18894872539767,6.2726055206368265
3.43,338.0585718023933,6.331478086293208
3.4200000000000004,337.93113513761307,6.39024228969331
3.41,337.80896663924216,6.448923950919847
3.4000000000000004,337.6904056104186,6.5074722456893035
3.39,337.5778697208182,6.565917874100797
3.3800000000000003,337.4696025765497,6.624204715024106
3.37,337.36812853383486,6.682368138019769
3.3600000000000003,337.27157594369754,6.740346954766252
3.35,337.1825915271991,6.798180954602144
3.3400000000000003,337.0991701544816,6.855804150495706
3.33,337.02409505379296,6.913260464703199
3.3200000000000003,336.95521090137396,6.970479417786743
3.31,336.89409534657335,7.0274771901069055
3.3000000000000003,336.84249157551403,7.084273802593057
3.29,336.7979860267263,7.1407925259546925
3.2800000000000002,336.76375936095184,7.19708628461043
3.27,336.737213431783,7.2530747824724155
3.2600000000000002,336.7217009329389,7.3088137821965695
3.25,336.71442908348234,7.364219858412423
3.24,336.7189278183066,7.419351158524529
3.23,336.7322018007449,7.47412160062437
3.22,336.75796109702253,7.528591230514659
3.21,336.7930021588669,7.582671814473346
3.2,336.8412156162937,7.636424779238202
3.19,336.89918629677925,7.689760275647673
3.18,336.9709833336957,7.742740563811273
3.1700000000000004,337.05297879698554,7.795274744462017
3.16,337.1473481887312,7.8473868365942705
3.1500000000000004,337.25645460534207,7.899100984252599
3.14,337.3763457308832,7.9503256445457975
3.1300000000000003,337.5115195752092,8.001122781297735
3.12,337.6578176842103,8.051401329184422
3.1100000000000003,337.81988953185055,8.101221969833023
3.1,337.9933770077917,8.15049476323647
3.0900000000000003,338.18306746112165,8.199278460289348
3.08,338.3844116091551,8.247484910251329
3.0700000000000003,338.59987519147757,8.295135516250893
3.06,338.8320581640254,8.342248859492354
3.0500000000000003,339.0761359855656,8.388740589786176
3.04,339.33717310192833,8.43466186576596
3.0300000000000002,339.61018310260397,8.479931845448341
3.02,339.89771271690967,8.524567659191778
3.0100000000000002,340.20239187743863,8.56858187198389
3,340.51901091731816,8.611900076695202
2.99,340.85277031901296,8.654561546095858
2.98,341.19833801814855,8.696497126268858
2.97,341.5609172137202,8.737740092692897
2.96,341.93507154518556,8.778227228782347
2.95,342.32330474320975,8.817966088941969
2.94,342.7281081831842,8.856957256049807
2.93,343.14391800969474,8.895147597188318
2.92,343.5731517472165,8.932539341797868
2.91,344.0181654440534,8.969126763013044
2.9000000000000004,344.47331543589416,9.004868312463358
2.89,344.94349354845303,9.039766943195554
2.8800000000000003,345.42303516375085,9.073789649353111
2.87,345.91409859082,9.106928193879883
2.8600000000000003,346.41868991528753,9.139164889209566
2.85,346.9311498199269,9.170480607080401
2.8400000000000003,347.45340700341546,9.200859978555089
2.83,347.9871790490627,9.230277390681469
2.8200000000000003,348.5268658075981,9.258728822650582
2.81,349.0764031198462,9.286177652380694
2.8000000000000003,349.63026340381117,9.312630518370034
2.79,350.18985438563845,9.338058943447747
2.7800000000000002,350.75627226490604,9.362423135038597
2.77,351.3241396234858,9.385746530153304
2.7600000000000002,351.8944693654146,9.407992185665412
2.75,352.4679040522436,9.429111363388676
2.74,353.039271589764,9.449145080871672
2.73,353.6091308694441,9.468047597830921
2.72,354.1776167184071,9.485761046567104
2.71,354.73981687295617,9.502344596997713
2.7,355.2957851434087,9.517743494092604
2.69,355.8451066422305,9.531890683893616
2.68,356.3831824538026,9.54486383095258
2.67,356.9095244487423,9.556599071964099
2.66,357.42212737681484,9.56707873461589
2.6500000000000004,357.91981119936537,9.57622361018652
2.64,358.3984773949648,9.584136230361262
2.6300000000000003,358.8568955969474,9.590740621110912
2.62,359.29332602896864,9.595948796549225
2.6100000000000003,359.70410417557036,9.599881603365931
2.6,360.08746999983873,9.60245427314849
2.5900000000000003,360.44091618974306,9.603649700443603
2.58,360.76204649985965,9.60336882451441
2.5700000000000003,361.0478538900402,9.601756154558595
2.56,361.2959841798393,9.598715758048222
2.5500000000000003,361.5036797097321,9.59414103843301
2.54,361.6684786333588,9.588193134790728
2.5300000000000002,361.7877302156024,9.580768459743732
2.52,361.85884883622,9.571851015646152
2.5100000000000002,361.87886235613047,9.561325355120484
2.5,361.8461026938178,9.549373008160067
2.49,361.75781315365134,9.53588131155758
2.48,361.6117049461384,9.520835194843977
2.47,361.40561144791883,9.504219855636268
2.46,361.1368742033934,9.485911289275053
2.45,360.80488799191363,9.466112602652814
2.44,360.4073623313098,9.44470219018327
2.43,359.94282091997707,9.421666493112848
2.42,359.4093955901674,9.396877169555456
2.41,358.80732717571004,9.37055055292796
2.4000000000000004,358.13522206639806,9.342560319731035
2.39,357.3925900484987,9.31289444176056
2.3800000000000003,356.5792241578091,9.281541321155283
2.37,355.6948566005927,9.248370765999073
2.3600000000000003,354.74066488459124,9.213609856946585
2.35,353.7169201646445,9.177129867757241
2.3400000000000003,352.62462879587645,9.138921134963413
2.33,351.4651071015315,9.098974532462021
2.3200000000000003,350.2399779251751,9.057281494950473
2.31,348.9513805438025,9.013715566799355
2.3000000000000003,347.6012059353263,8.968507017664358
2.29,346.1920530575183,8.921530122211173
2.2800000000000002,344.72667484110207,8.872778801389174
2.27,343.2080690413513,8.822247660823134
2.2600000000000002,341.63945788527076,8.769932016197462
2.25,340.0242658955938,8.71582792069898
2.24,338.3670661194291,8.659822257955366
2.23,336.66976690542145,8.60213445219384
2.22,334.937120382802,8.54265123676606
